upid,Gene,Number of peptides,Confidence score,Protein molecular weight,GLC_BATCH_mu=0.6_NEW,FUM_BATCH_mu=0.55_NEW,PERSIST@8H_mu=0.02_NEW,STARVED@8H_mu=-0.005_NEW
P69503,apt ,10,626.4,19828.64708,1091.4638856127,820.6679076993,904.4626931912,772.1025555156
P02924,araF,13,703.31,35500.25494,90.5085447887,430.5426532145,1737.7002295425,904.9928560122
P0AAF3,araG,2,75.47,54965.4880800001,5.2271547233,2.8497016462,57.933341178,26.7403763566
P0A9Q1,arcA,14,881.48,27256.91436,1620.7803800656,2240.0548388422,3948.1239222472,3089.374430452
P0AEC3,arcB,7,241.87,87909.6409900003,42.9132124172,73.8949316426,57.0943613421,44.4487097251
P0A6C5,argA,13,692.5,49146.4765200001,488.9509175445,293.5155171914,107.9096710523,184.3574315099
P0A6C8,argB,18,1226.03,27124.47333,2380.4338324779,1469.4055115438,1257.238512952,1224.8391195357
P11446,argC,10,822.36,35911.41235,1311.8487158844,848.434477261,686.4406682016,727.9865669554
P18335,argD,20,2022.81,43721.10429,3028.5822911211,1581.3330811361,2443.3638174474,1637.9212340627
P23908,argE,14,1225.28,42302.47015,2228.5082566425,1060.6001382873,2205.7379373299,1066.7284600854
P06960,argF,5,868.95,36785.42997,565.1561339018,332.3603667057,76.3910653432,172.7457253995
P0A6E4,argG,38,3414.28,49848.8173300001,4706.5580836901,2344.5134758633,2918.1603218889,2407.4727083157
P11447,argH,21,1537.11,50268.64352,1660.9018120196,877.7763393568,905.0645212957,819.9386946845
P04391,argI,5,953.52,36865.4917,895.6722475041,639.6259466353,101.2637841658,393.695484631
P0A6D0,argR,2,168.12,16965.84566,383.2915812335,378.0853220121,653.6063106783,366.3153436365
P11875,argS,21,1497.59,64623.8196500001,595.674862599,490.2642260846,531.0961736644,561.0852886665
P09551,argT,18,1537.71,27956.24088,2531.3676604779,9399.2997875323,9149.5796816292,8931.0000411556
P77398,arnA,1,83.29,74224.1171700003,11.3543807624,18.7658279373,2.0830743421,6.2912081236
P77757,arnC,1,44.1,36297.80999,9.3576940784,12.0778087282,9.78454991,8.9839826279
P0A6D3,aroA,23,1621.22,46048.45409,1434.4580621727,872.681915444,1038.6183741682,771.541503565
P07639,aroB,14,1081.55,38838.30699,647.6404615244,628.294042851,392.3804987085,534.1342279776
P12008,aroC,9,697.91,39094.99499,596.5722753271,598.064211034,667.2559523339,553.3286636507
P05194,aroD,11,562.06,27431.21147,474.3130904975,396.235028688,304.6611808109,307.2596939783
P15770,aroE,7,646.79,29377.13756,279.3936602985,231.3684311842,255.8360399482,218.9023825644
P00888,aroF,16,1426.18,38761.41858,1328.9141068321,1001.002403456,148.3573760178,287.9684481363
P0AB91,aroG,22,1873.03,37967.50301,4789.9024256204,2371.3189274158,3620.9520705074,2383.6093079481
P00887,aroH,9,427.67,38692.6325,373.1805913039,209.1862257244,322.7382306386,194.0952452607
P0A6D7,aroK,11,591.81,19508.09251,1202.4170625099,953.1398700297,623.2198451236,730.8476096913
P0A6E1,aroL,4,284.98,19120.78656,545.2538418507,741.1941294111,614.5543737888,532.8739930233
P0AE28,aroM,3,119.52,24883.21341,236.0373530475,371.6430773427,98.9184632378,139.8991414351
P15993,aroP,6,325.77,49639.2828700001,450.4443104775,642.0456235877,346.7008203724,314.1216793946
P0AB96,arsC,1,41.12,15825.29134,11.9414014132,27.8347755374,12.2651484531,38.0973631093
P30859,artI,11,890.07,26894.72093,1381.8669280301,1950.3183445734,2050.5100182428,1937.0204787537
P30860,artJ,12,939.7,26794.65139,2927.2209549868,2071.819468833,3443.8120697522,1995.1477089392
P0AAF6,artP,5,221.15,26986.97225,361.563587009,326.8664702592,472.9319388252,355.0465805259
P0AE34,artQ,2,120.31,26182.12996,84.3982076992,85.2028573292,106.2911331486,83.2346794382
P0A9Q9,asd ,22,1909.93,39974.477,7210.4463415971,4075.2706961445,3622.4769148647,3414.1602037378
P28249,asmA,9,425.62,68902.0979200003,76.1872605594,95.3035661429,105.1874303972,109.1055444175
P00963,asnA,8,504.15,36609.75524,563.0570654676,324.7095460136,49.7034164142,79.5541928874
P22106,asnB,25,1533.91,62601.0838100001,759.0114383805,536.4496253216,407.9773842186,431.0359325857
P0ACI6,asnC,1,76.48,16858.87233,22.6129074552,26.8641137409,40.5316474072,23.2420360019
P0A8M0,asnS,23,1658.7,52519.4164400001,2418.0899244008,1900.6639731243,2228.990648905,2234.767517849
P0AC38,aspA,13,705.07,52304.5311200001,121.575397489,1339.6755885451,633.4364041807,1823.3838843879
P00509,aspC,32,2186.52,43527.9976200001,3914.2215831868,4817.8890433484,2214.2410454125,4613.9159132804
P21889,aspS,33,2152.91,65853.6213200002,1185.3863308901,1092.8908141474,1126.1996022759,1152.6164546969
P0AE37,astA,2,90.62,38413.41491,8.9167173332,10.3063804798,122.1615743182,122.8482284248
P76216,astB,2,125.57,49249.8908500001,49.4798152067,33.5636957632,117.3841540441,83.3198911636
P77581,astC,14,1056.82,43619.9979000001,157.9493954141,421.3361124799,864.586454442,1334.020489925
P76217,astD,8,492.13,52975.1647600001,99.7448591813,128.6479947097,494.9399163213,630.7373397912
P76215,astE,2,77.36,35759.41347,2.1565686835,16.7300139293,92.5653208189,42.8519523964
Q06065,atoC,2,65.56,52125.1855700001,4.6840770423,19.9417684578,2.3972285081,10.9188746066
P0ABB0,atpA,35,3144.25,55169.7366200001,5360.9571518908,7649.016998221,6108.8137895155,8335.0026405314
P0AB98,atpB,3,168.12,30265.358,579.3895106367,970.3818269046,572.2723792266,740.280171904
P0A6E6,atpC,9,946.26,15040.73788,3024.4874809306,4771.2535217582,3271.3614424232,3836.2040204991
P0ABB4,atpD,40,3586.2,50275.8193100001,7417.4395666126,9999.9472104718,8114.5303275104,11098.9974129308
P0ABA0,atpF,10,695.43,17235.28982,3542.3644960955,4757.8783982218,4164.6071390528,6038.8261056959
P0ABA6,atpG,25,1665.82,31539.27915,1782.6984212072,2760.0070686624,2257.435449089,3202.3756613028
P0ABA4,atpH,12,909.64,19301.95116,2258.8932535319,3219.3873238915,2405.1051872943,3469.0653395252
P09053,avtA,11,617.43,46662.96822,453.1183919597,415.8514980336,131.4603063186,329.8708423231
P41407,azoR,7,593.26,21626.28299,1343.7613972686,2078.6636674942,146.9445124365,1064.7644469792
P69228,baeR,6,259.46,27620.56338,144.1708764473,103.1741108816,132.523326346,96.6095842547
P30847,baeS,2,104.62,51941.1690300002,24.8488645824,27.7767618205,36.3296453465,33.4748994891
P0AEC5,barA,3,101.84,102369.92113,14.0541787188,21.1073515068,17.5403832196,17.3459961209
P30843,basR,2,167.07,24997.14381,95.369508887,143.9101356834,177.4981993541,166.2762843382
P30844,basS,1,63.03,40985.5738100001,2.2208071009,2.2470764853,0.0820574946,0.0815224302
P0AE52,bcp ,11,1054.97,17604.6859,3347.8160837918,2572.8455964282,2977.7250751518,2751.326274436
P28246,bcr ,1,63.99,43305.6915000001,40.0788888869,34.7040624538,43.2803608507,34.6357418749
P17445,betB,8,498.77,52859.7374200001,266.9363293391,177.8007692268,218.6627338091,187.5565470192
P0ABD3,bfr ,8,484.42,18465.32013,574.6215538052,1129.0746351002,4121.8490967753,1035.942277915
Q46829,bglA,20,1010.33,55306.8490500001,659.10486425,639.1662486309,692.3127409452,721.9591503014
P33363,bglX,20,944.75,83389.4519300005,210.8072731484,245.3807263133,230.5706870062,270.1769484481
P0AB40,bhsA,1,96.75,8791.53021,191.6675695326,21.4094747873,437.3575464389,32.0363463497
P12995,bioA,10,465.66,47286.45536,255.435368702,320.7350869444,247.1876892807,257.2753999818
P12996,bioB,9,477.9,38605.23075,294.9966478974,219.4689782899,38.2150880046,66.0733289066
P13000,bioD,10,707.52,24106.3701,944.2020448272,800.8675474169,1261.3979070442,793.1083832256
P12998,bioF,3,145.21,41550.25394,61.3805818896,44.7508398548,35.2810798281,35.5235198345
P13001,bioH,3,187.43,28468.85214,61.9403544232,53.7862700386,52.1459363654,59.0397550453
P06709,birA,2,130.77,35271.8493,51.4191917584,47.984239094,50.7349269085,34.591574131
P20099,bisC,8,387.24,85778.2747100003,58.5406269932,49.5442224967,94.5638473107,50.1918108446
P0A901,blc ,4,200.23,19821.07031,432.1339493196,245.1932879302,263.9260511281,353.6226371995
P0ABE2,bolA,5,409.25,11968.08703,981.4238562033,1042.2425856831,4099.3391302023,3798.9639342914
P06129,btuB,18,1222.4,68347.3522700003,429.1866668016,425.2482571085,611.3865422683,441.9816972433
P06610,btuE,8,515.76,20438.34628,832.2834244019,920.6940001635,815.2884741277,727.8784910921
P0A9H5,btuR,4,212.66,21967.13764,151.287504378,138.4061997772,110.5112845934,95.7313206163
P61517,can ,14,765.59,25062.79563,2527.6157289778,1722.8383177743,1568.3510238568,1416.6375229753
P0A6F1,carA,20,1749.98,41387.12046,4223.779280648,2707.4894043583,3932.0230517983,2582.9505606299
P00968,carB,76,5713.41,117749.332790001,3522.5224183101,2120.3054281027,2943.2045013914,2130.0434949954
Q47083,cbl ,1,47.99,35815.80719,30.6428568728,50.7728168963,10.4071641997,16.053875801
P36659,cbpA,8,446.81,34415.7121,261.7117407769,287.4354945889,545.919192314,351.8812196511
P63264,cbpM,1,48.93,11487.01779,174.6405678458,361.2688719878,274.897445487,370.6781582399
P06961,cca ,4,214.94,46419.98726,58.4950377899,53.2629886507,36.2668129473,47.0833331678
P69490,ccmE,2,43.72,17669.15683,27.8099435081,30.7212456467,52.2631657236,32.9522396547
P0ABF6,cdd ,8,623.32,31501.89874,276.3088591353,344.8779088219,1053.1283272511,474.9198520591
P06282,cdh ,2,114.34,28414.64391,36.8370832683,18.5711853274,39.7566910592,12.3907387608
P0A9H7,cfa ,2,120.79,43862.65146,131.5015068104,66.6800924767,26.6355743321,0.2457653519
P0AE63,chaB,1,93.67,8921.34967,268.478995797,178.8613249917,114.8309886436,102.6968200708
P69795,chbB,1,131.47,11401.1638,215.6986258319,362.3354185333,666.5120621093,390.96064259
P17315,cirA,21,1253.95,73832.3494700004,443.5402154075,426.7599158988,477.0419989775,630.1316507166
P0ABH9,clpA,30,1922.72,84136.9188900004,613.3506687069,396.7934292649,460.4451234953,526.1061493664
P63284,clpB,5,3078.31,95507.9242800003,201.3646363648,231.7034305088,374.1630706869,262.5284774432
P63284,clpB,1,2706.07,95507.9242800003,4.6193311472,8.9978475103,1.5722674061,4.5045934079
P0A6G7,clpP,10,790.6,23153.61161,3036.6717641115,2652.7199397221,3091.9868157267,3218.495483817
P0A6H1,clpX,21,1575.93,46309.17173,1471.6136793489,1062.2435018566,1164.350996229,1034.2849636931
P0A6H8,cls ,7,565.18,54768.5458600001,170.1835072037,149.5284669712,197.6250031217,171.3730274014
P0A6I0,cmk ,7,483.42,24713.0717,492.3928260219,469.5586644506,706.7169039653,579.2522329602
P76290,cmoA,7,384.36,27740.85535,247.7341070132,265.2359674346,186.8561789238,257.2093421185
P76291,cmoB,2,136.7,36965.07974,57.5462016948,43.0650524331,63.3470314498,52.8703934689
P0A6I3,coaA,7,308.07,36319.00734,176.0966027858,202.7703227616,108.7079029221,166.7850281426
P0ABQ0,coaB,7,564.55,43392.67021,221.3098274927,251.807650085,221.0299820764,253.2754787906
P0A6I6,coaD,5,304.92,17807.10425,222.1578798425,189.3634061287,228.7277450153,180.6861463419
P0A6I9,coaE,2,117.85,22589.85479,42.0883012372,38.7505753367,83.0940372633,58.7239566627
P75960,cobB,4,250.18,26681.42664,334.2955089254,451.4748185345,333.3914549679,489.3121818055
P36562,cobT,4,127.2,36945.23489,261.8667726632,206.4871500946,165.4882519972,217.6447435994
P25524,codA,13,919.66,47543.1758200001,809.6411443648,443.5722121537,386.3952769004,960.7786235193
P0AA82,codB,3,205.44,43603.2293200001,363.3639989513,365.334523898,2.4596227464,4.3838606911
Q59385,copA,23,1729.28,87799.7986500004,1382.0239625673,2149.843452301,1830.074825813,1959.701484155
P0ABI4,corA,7,514.78,36548.54499,445.4311361712,391.7074256761,592.2636291112,486.7214552887
P0AE78,corC,15,838.91,33259.53085,332.1760436023,424.6013585886,380.7961198668,383.3615589461
P08331,cpdB,16,855.28,70769.8169600002,165.3448581304,332.2806869019,158.046307558,362.2181734895
P0CB39,cptA,11,449.44,66549.8440500002,175.6476700414,152.6932157849,223.4157090595,239.9102817605
P0AE82,cpxA,5,233.72,51573.9370100001,53.1459422047,58.5793673316,101.7032533647,53.2460831483
P0AE85,cpxP,7,365.26,18935.33096,312.8813876268,681.8023590314,1091.2914306806,826.8071467656
P0AE88,cpxR,9,633.62,26277.7507,841.6335628571,1027.1084425873,1017.8254831269,1099.5218876411
P0AE91,creA,3,124.42,17079.02378,312.4976273884,241.7853650199,366.1129303206,240.208196213
P08368,creB,2,61.47,26090.80672,17.293153712,19.3902108607,4.7429903335,16.4000519878
P24251,crl ,6,316.78,15626.98076,1048.4313596505,852.9885723562,575.9427829514,549.1800188394
P0ACJ8,crp ,16,947.46,23607.36405,2272.7763983115,3169.0517773695,2904.6737171694,3518.6646713576
P69783,crr ,10,824.01,18221.73165,5925.5444855501,5060.9111404395,11441.6568880779,6804.7425491088
P76621,csiD,9,565.76,37318.85063,44.6978727358,365.5763977756,671.8463641207,382.051157112
P54901,csiE,3,152.28,48991.4051500001,6.0308965028,10.7777689643,120.9063047465,88.0985835834
P0A9X9,cspA,3,264.21,7380.61749,1053.4350347157,2398.7610466836,115.0493555606,142.5538935581
P0A9Y6,cspC,4,380.48,7379.75048,15083.1411963855,12241.512636056,11549.0408116599,8439.6563064469
P0A968,cspD,3,92.57,7945.88707,577.8190284984,3172.2243069178,552.924019146,376.3165286985
P0A972,cspE,5,287.89,7440.80325,4567.0490618042,4119.6569149458,2268.5368558214,1230.7997169516
P69913,csrA,3,199.84,6833.64357,1264.6491043491,1366.6436576623,1141.6610043605,1144.6752975416
P15078,cstA,10,637.86,75037.5652600003,415.9117511465,2001.8183296913,1281.6622367873,2256.8223215339
P36649,cueO,5,265.96,56501.4153800001,197.1233592033,139.2985825915,149.9471161855,138.3626500763
P38054,cusA,27,1574.55,114616.028440001,450.1684495016,553.9123451543,385.0880920892,425.7801025149
P77239,cusB,20,1319.71,44259.1752400001,1336.8610253472,1510.9627267792,1150.7995046207,1079.3368475827
P77211,cusC,14,984.87,50220.6139600001,710.6054309603,807.5711200518,791.4038596194,845.1737548058
P77214,cusF,5,346.66,12225.27043,6416.2577983293,8152.8819920351,4684.4478687615,4189.555506544
P0ACZ8,cusR,11,510.28,25360.46757,781.7008949001,840.2398577265,325.9849256772,503.9942709274
P77485,cusS,8,499.78,53686.0332400001,209.2333715985,258.3695094931,189.2212977086,198.4090215817
P67826,cutC,6,582.64,26726.4102,181.4961885235,142.6647291013,156.5081942019,140.2904396962
P00936,cyaA,3,88.16,97506.1895600005,27.3664841859,6.4963842154,4.60968252,0.8566238629
P27838,cyaY,4,183.04,12205.80259,216.1604992979,306.967761611,254.2207750304,193.5035709118
P0AAE0,cycA,2,144.34,51607.2606900001,252.553750187,775.1321375153,190.9711562018,395.6673410536
P0ABJ9,cydA,9,557.53,58149.0484300001,486.2647929441,661.6098998909,704.7912979382,779.9313668409
P0ABK2,cydB,2,157.62,42406.9616200001,351.0284352517,342.4098023984,362.9966362793,515.9995629475
P23886,cydC,7,358.41,62862.6806500002,183.0936479516,148.3275226005,199.3214402771,158.5651281169
P29018,cydD,5,236.27,64997.2851500001,102.0242393034,98.0582044623,93.2048377573,84.882946867
P0ABJ1,cyoA,12,874.65,34870.5555,1595.798840633,2026.7257006615,2305.6654869437,1871.2398070149
P0ABI8,cyoB,7,488.1,74300.3418100003,708.1001068387,1157.5823673567,1017.1269207593,956.2034913481
P16676,cysA,19,1186.7,41015.48876,901.6649251475,1011.6740255934,124.7339508725,147.4752706802
P0A9F3,cysB,9,473,36109.85116,456.0821276586,341.1511444968,382.3397803424,387.1276087115
P0A6J1,cysC,6,435.35,22289.51644,739.1311141667,529.1953458583,513.222756526,410.0742724269
P21156,cysD,17,1019.85,35147.8827,1653.6167587348,1075.6208124376,421.0649275217,338.1073542449
P0A9D4,cysE,8,432.73,29280.00172,617.443051089,680.3592828042,472.0320665257,684.4097605961
P0AEA8,cysG,4,210.23,49901.9983300001,63.9161211907,39.1625973957,80.6196625868,39.2140985828
P17854,cysH,12,552.74,27940.45168,829.3209032604,672.460697259,250.9269433272,441.7372216865
P17846,cysI,34,2450.48,63939.9350300002,1833.0006675528,1487.78411509,1076.4624768078,1356.8491166153
P38038,cysJ,31,2618.05,66210.8661400001,2548.1384564151,1670.7815347116,1461.4550177203,1727.3732898716
P0ABK5,cysK,23,2368.1,34450.28634,3998.4144181568,5507.8383130062,4620.4033893082,6877.21274863
P16703,cysM,12,740.9,32625.48081,599.0792120884,551.7227339416,482.5495761396,576.6535714743
P23845,cysN,21,1373.07,52508.0195300001,1664.4019650365,1238.8069571771,443.8893336007,584.2522192946
P16700,cysP,16,951.1,37573.27827,1782.3097918577,2092.6388742379,2045.8787773614,1997.6862310171
P22255,cysQ,11,522.14,27140.68135,814.4626673971,894.1685586461,2235.6406133772,1236.0549379337
P21888,cysS,16,1018.23,52150.62339,541.4317899143,463.5024476982,457.0157644008,485.9539107999
P16701,cysU,2,181.36,30254.2464,380.0428266589,304.1758921574,117.1602430379,162.8803460969
P0AEB0,cysW,1,87.09,32498.35892,78.798527612,93.1069367882,8.3935855091,16.5110914069
P0ACN7,cytR,2,83.55,37777.32841,17.3100296737,27.4987801273,21.9267132098,19.4762058569
P0AEB2,dacA,13,1090.3,44397.6698300001,936.9718003223,687.5960605629,1026.3923694521,504.9795861359
P24228,dacB,5,315.28,51747.5300500001,95.816826616,64.560528617,95.6381238425,62.6982230988
P08506,dacC,18,1602.7,43563.3392100001,978.214379395,1099.3412037695,1871.92192777,1296.9372560043
P0A6J5,dadA,14,805.03,47559.0476000002,231.4153352678,448.1099116527,606.7644200443,549.324047112
P29012,dadX,7,465.28,38801.9209,65.0642440083,194.0951241145,309.7734918566,281.3939984081
P11557,damX,15,856.22,46116.34117,935.5883191065,733.2780502695,932.3698067818,659.9424854121
P0A6L2,dapA,14,1016.91,31232.09735,2207.5807221359,1921.3424141214,1594.21565356,1787.7464808918
P04036,dapB,14,787.82,28720.56121,402.5698915221,230.7450074954,422.2437437323,405.1594191526
P0A9D8,dapD,16,1201.87,29855.42579,5839.7354206397,2598.4493282973,3881.5880220578,2771.3654904102
P0AED7,dapE,6,263.7,41224.8347,147.719576915,88.4125076594,104.7319213129,90.9684220955
P0A6K1,dapF,2,119.65,30171.18908,63.1368496198,54.3533065945,55.2336233967,61.4985646684
P28248,dcd ,6,341.36,21217.97047,312.1883962344,411.6704414941,213.7340349811,381.7675483082
P0AED9,dcm ,5,174.85,53413.3030100001,61.7913455268,49.4914852517,53.7030301492,49.1884682049
P24171,dcp ,23,1645.46,77448.9569200002,849.6553565091,892.2146996833,559.3785666692,671.8246866174
P0AEE1,dcrB,11,674.83,19757.12484,1426.7815551383,1226.9935580914,1615.2618097198,1430.0864282116
P0A830,dctA,7,525.93,45388.7442000001,63.3560650518,2063.3208451153,124.0733593383,1901.8531914321
P0ABN5,dcuA,2,119.65,45702.8333300001,189.5409073261,251.8021685438,233.2091040682,374.2772486414
P76316,dcyD,10,455.28,35113.19951,319.6259594667,375.0758830947,471.4952089537,519.1392128996
P0A6J8,ddlA,10,502.13,39273.2616500001,245.2195653602,270.0880841416,243.7317796043,294.9170909388
P07862,ddlB,5,321.28,32800.79555,176.6173291576,154.2103307249,216.1738548835,183.0842257008
P76128,ddpA,9,506.31,57587.1851800001,73.2408477313,212.1596827158,236.2089001711,181.0135225212
P0A9P6,deaD,13,1142.93,70484.6208400004,429.2427643836,264.112872126,24.7148342779,24.4513752083
P09549,dedD,3,87.83,22906.23661,200.295127445,245.5787027825,142.7675280837,193.0640295129
P0A6K3,def ,5,284.4,19298.2689,486.6614243706,276.7630903069,464.0868427339,225.9806535581
P0C0V0,degP,25,1875.87,49305.4489600002,1798.1609408191,1379.4177229233,2026.7650006987,1594.3474929634
P39099,degQ,12,911.94,47158.1467000001,437.8889502611,463.0926368411,541.5724599255,463.9895961525
P0AEE3,degS,5,213.77,37539.88162,189.69337575,176.2718718065,143.3449023758,127.7323031719
P07650,deoA,11,691.79,47159.0389000001,221.7591545335,189.6873103275,478.4855903946,252.4216027833
P0A6K6,deoB,20,1273.95,44323.9440000001,1037.6701819717,1200.7410706016,2665.3916954331,1368.9576799012
P0A6L0,deoC,14,986.16,27698.32324,973.6904496303,859.0517108252,2775.2542590346,1249.686601753
P0ABP8,deoD,19,1401.17,25915.01852,1698.7360675173,2183.2359784605,2626.387362223,2669.5294262902
P0ACK5,deoR,2,113.39,28511.57257,56.7104476972,44.3892035835,64.631250737,57.3871907058
P0A6P5,der ,21,1062.34,54983.4506000002,455.9853596028,374.7897301397,380.8415795188,320.9928330785
B6WQ64,DESP,2,37.74,33121.53576,130.0584230306,53.4817597331,189.6735255907,42.3839142719
P0ABN1,dgkA,2,144.64,13218.0734,282.1334332328,302.5585038905,200.6802175869,288.7215941058
P31460,dgoR,2,112.66,26045.27197,76.0447246681,122.2080171349,107.0764242153,112.8436488214
P15723,dgt ,4,165.55,59327.4740400001,40.0334235625,47.6773595109,156.8061972317,62.2067023474
P76015,dhaK,14,886.98,38173.1362200001,471.7494050681,646.091091024,555.1330275442,672.3115003782
P76014,dhaL,6,415.78,22599.29494,164.6241582374,135.8682095143,130.3806371771,152.4143661606
P37349,dhaM,16,990.41,51398.26995,442.7421948899,156.8176543605,266.1443831649,128.1099224135
Q47150,dinJ,2,116.51,9381.99717,152.523504904,136.1992429078,165.0397907131,141.8163863347
P31680,djlA,5,311.01,30541.54864,175.2589227568,111.9585943992,206.2224449657,140.5765965654
Q46857,dkgA,11,824.85,31072.23036,611.9881573615,397.1133221147,3765.019331512,1343.2880796764
P30863,dkgB,5,309.2,29400.44699,162.3315270925,184.4293996451,103.7358309952,198.5613967715
P0ABS1,dksA,11,905.83,17498.7338,3437.7348863752,3146.4899736882,5173.5441931016,3599.1550444646
P06149,dld ,33,1881.71,64553.6021200001,601.7035878658,874.2298594089,589.0480568852,887.969959491
