bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b0029	4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1	ispH	0.0129	0.0248	0.0232	0.00686	0.00902	0.00776	0.0119	0.0104	0.00827	0.00711	0.00488	0.00355	0.00065	0.0039	0.006	0.00863	0.00808	0.00885	0.00829	0.00532	0.00776	0.0109
b0030	Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1	rihC	0.00229	0.0657	0.0397	0.0114	0.0198	0.0083	0.0115	0.0137	0.0158	0.0206	0.0177	0.0153	0.00255	0.00265	0.00343	0.00279	0.00153	0.00335	0.017	0.00742	0.0139	0.00464
b0031	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	dapB	0.147	0.12	0.0825	0.0772	0.0583	0.0788	0.0836	0.0789	0.0699	0.0519	0.0466	0.0406	0.116	0.118	0.127	0.194	0.188	0.097	0.0739	0.051	0.0532	0.109
b0032	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	carA	0.636	0.0544	0.0496	0.204	0.34	0.322	0.4	0.275	0.334	0.184	0.128	0.103	0.213	0.18	0.401	0.586	0.496	0.411	0.288	0.237	0.381	0.517
b0033	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	0.869	0.0804	0.132	0.296	0.489	0.436	0.558	0.361	0.587	0.366	0.276	0.218	0.237	0.224	0.44	0.703	0.569	0.525	0.498	0.327	0.51	0.723
b0036	Carnitinyl-CoA dehydratase OS=Escherichia coli (strain K12) GN=caiD PE=1 SV=4	caiD	0.00278	0.000533		0.000552	0.000751	0.0005	0.000548	0.000448	0.00132	0.00167	0.00166	0.000502	0.000498	0.000539	0.0000465	0.000354	0.000874			0.000431	0.00103	
b0046	Glutathione-regulated potassium-efflux system ancillary protein kefF OS=Escherichia coli (strain K12) GN=kefF PE=1 SV=1	kefF	0.00152	0.00108		0.000717	0.000205	0.000861	0.00111	0.000356	0.000712	0.000467	0.000478	0.0002	0.0000506	0.00002	0.000454	0.000333	0.000254			0.000514	0.00106	
b0047	Glutathione-regulated potassium-efflux system protein kefC OS=Escherichia coli (strain K12) GN=kefC PE=1 SV=2	kefC	0.000251	0.000407	0.000339	0.000394	0.000516	0.000872	0.000442	0.000295	0.00119	0.00115	0.00105	0.00116	0.0000788	0.0000755	0.000136	0.000313	0.000376	0.000143	0.000455	0.000272	0.000494	0.000376
b0048	Dihydrofolate reductase OS=Escherichia coli (strain K12) GN=folA PE=1 SV=1	folA	0.0088	0.017	0.0263	0.00528	0.00942	0.00729	0.00887	0.00847	0.0058	0.00532	0.00462	0.00508	0.00855	0.00752	0.00665	0.0069	0.00743	0.00653	0.00691	0.0052	0.00688	0.00788
b0049	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical] OS=Escherichia coli (strain K12) GN=apaH PE=1 SV=2	apaH	0.00297	0.00477	0.0033	0.00262	0.00235	0.00213	0.00212	0.00236	0.00195	0.00205	0.00216	0.00212	0.000917	0.0012	0.00326	0.00311	0.00311	0.00217	0.00209	0.00187	0.00207	0.00161
b0050	Protein ApaG OS=Escherichia coli (strain K12) GN=apaG PE=3 SV=1	apaG	0.000299	0.000381	0.000261	0.000451	0.000281	0.00045	0.000314	0.000367	0.000247	0.000361	0.000401	0.000315	0.000494	0.000448	0.000696	0.000441	0.0013	0.000426	0.000471	0.000413	0.000267	0.000238
b0051	Ribosomal RNA small subunit methyltransferase A OS=Escherichia coli (strain K12) GN=rsmA PE=1 SV=1	rsmA	0.0127	0.0227	0.0161	0.00559	0.00667	0.00597	0.00865	0.00704	0.00522	0.00393	0.00308	0.00337	0.00523	0.00445	0.00788	0.0123	0.0089	0.00775	0.00597	0.00373	0.0074	0.009
b0052	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	0.0107	0.0104	0.00925	0.00827	0.00891	0.0103	0.00967	0.0102	0.00668	0.0062	0.00565	0.00469	0.0062	0.00439	0.0155	0.0108	0.0138	0.0111	0.00777	0.00752	0.00827	0.00926
b0053	Chaperone surA OS=Escherichia coli (strain K12) GN=surA PE=1 SV=1	surA	0.122	0.2	0.142	0.0706	0.0883	0.0888	0.102	0.0947	0.0807	0.0771	0.069	0.0636	0.0622	0.053	0.119	0.11	0.0955	0.0972	0.0931	0.0929	0.0932	0.11
b0054	LPS-assembly protein lptD OS=Escherichia coli (strain K12) GN=lptD PE=1 SV=2	lptD	0.0779	0.136	0.108	0.0439	0.0525	0.0774	0.0541	0.0529	0.0556	0.0537	0.0504	0.0458	0.0579	0.058	0.0868	0.0799	0.0903	0.0642	0.0514	0.0554	0.0503	0.053
b0055	DnaJ-like protein djlA OS=Escherichia coli (strain K12) GN=djlA PE=1 SV=1	djlA	0.0000513	0.00000178	0.000118	0.000103	0.00131	0.000057	0.00191	0.0011	0.00367	0.00236	0.00214	0.00216	0.0000898	0.0013	0.00116	0.00255	0.00139	0.00158	0.000138	0.00151	0.00143	0.00232
b0058	Ribosomal large subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rluA PE=1 SV=2	rluA	0.00487	0.0159		0.00258	0.00406	0.00312	0.00458	0.00233	0.00301	0.00524	0.00502	0.00261	0.000466	0.00287	0.00495	0.00602	0.00534			0.00274	0.00338	
b0059	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	rapA	0.0153	0.0983	0.0337	0.0119	0.0112	0.0182	0.0135	0.0098	0.0192	0.0155	0.0138	0.0161	0.0146	0.0144	0.0101	0.0185	0.0189	0.0157	0.0138	0.00849	0.011	0.0175
b0068	Thiamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=thiB PE=1 SV=2	thiB	0.00111	0.0049	0.0026	0.00114	0.00106	0.00132	0.00163	0.00197	0.00112	0.000473	0.000354	0.000339	0.000217	0.000325	0.000745	0.00000766	0.000151	0.00104	0.00124	0.000697	0.00163	0.00135
b0071	3-isopropylmalate dehydratase small subunit OS=Escherichia coli (strain K12) GN=leuD PE=1 SV=3	leuD	0.191	0.0172	0.0332	0.248	0.182	0.23	0.194	0.136	0.15	0.209	0.203	0.251	0.0057	0.00554	0.144	0.0953	0.0628	0.211	0.204	0.195	0.235	0.205
b0072	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	leuC	0.229	0.0463	0.0591	0.294	0.243	0.298	0.242	0.175	0.181	0.256	0.256	0.299	0.0188	0.0141	0.133	0.0996	0.0919	0.189	0.172	0.189	0.232	0.213
b0073	3-isopropylmalate dehydrogenase OS=Escherichia coli (strain K12) GN=leuB PE=1 SV=3	leuB	0.301	0.0389	0.0493	0.475	0.292	0.28	0.33	0.196	0.358	0.405	0.413	0.453	0.0947	0.109	0.801	0.412	0.307	0.453	0.281	0.503	0.289	0.329
b0074	2-isopropylmalate synthase OS=Escherichia coli (strain K12) GN=leuA PE=1 SV=5	leuA	0.258	0.0841	0.0849	0.403	0.277	0.301	0.321	0.199	0.352	0.364	0.36	0.478	0.174	0.139	0.6	0.45	0.21	0.5	0.317	0.406	0.33	0.362
b0077	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	ilvI	0.046	0.0119	0.0111	0.0321	0.0359	0.0425	0.0493	0.0483	0.0472	0.0432	0.0375	0.0296	0.0232	0.0259	0.0385	0.0423	0.0443	0.0468	0.0379	0.0291	0.0319	0.0463
b0078	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	0.0457	0.0131	0.0136	0.0269	0.0286	0.0432	0.0371	0.0398	0.0321	0.0255	0.0246	0.0213	0.0238	0.0187	0.0418	0.0428	0.0475	0.0543	0.0474	0.0383	0.0418	0.0576
b0080	Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1	cra	0.00934	0.0234	0.0149	0.0163	0.0192	0.0137	0.0159	0.0202	0.0182	0.0204	0.0186	0.0222	0.00538	0.00562	0.00577	0.00964	0.00784	0.0112	0.0183	0.0151	0.0202	0.0175
b0081	Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1	mraZ	0.00426	0.00245	0.00314	0.00442	0.00426	0.00359	0.00393	0.00468	0.00393	0.00304	0.00282	0.00322	0.00599	0.00189	0.00388	0.00493	0.00519	0.00443	0.00287	0.00456	0.00272	0.0034
b0082	Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	rsmH	0.0216	0.0288	0.0222	0.0178	0.0174	0.0163	0.0192	0.0249	0.0134	0.0107	0.00941	0.00957	0.0122	0.0128	0.0206	0.0322	0.0261	0.0259	0.0214	0.0175	0.0205	0.0254
b0083	Cell division protein ftsL OS=Escherichia coli (strain K12) GN=ftsL PE=3 SV=1	ftsL	0.00133	0.00168	0.00073	0.000578	0.000752	0.000665	0.000876	0.00109	0.000527	0.000385	0.000247	0.0000825	0.0000087	0.0000111	0.0000728	0.0000165	0.000394	0.0000151	0.000684	0.000157	0.000677	0.000572
b0084	Peptidoglycan synthase ftsI OS=Escherichia coli (strain K12) GN=ftsI PE=1 SV=1	ftsI	0.00122	0.00278	0.00229	0.00157	0.00128	0.00197	0.00146	0.00264	0.00169	0.00106	0.000983	0.000489	0.0000276	0.000134	0.000785	0.00172	0.00129	0.00176	0.00216	0.000946	0.00156	0.0015
b0085	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase OS=Escherichia coli (strain K12) GN=murE PE=1 SV=2	murE	0.0453	0.062	0.0491	0.0451	0.035	0.0304	0.0332	0.0445	0.0298	0.0246	0.0196	0.0179	0.0205	0.017	0.0365	0.053	0.0517	0.0408	0.0351	0.0267	0.0311	0.0385
b0086	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase OS=Escherichia coli (strain K12) GN=murF PE=1 SV=2	murF	0.0418	0.0669	0.0522	0.0401	0.0383	0.0265	0.0374	0.039	0.0328	0.0214	0.0182	0.015	0.0168	0.0158	0.035	0.0413	0.0438	0.0335	0.0265	0.0187	0.0207	0.0245
b0087	Phospho-N-acetylmuramoyl-pentapeptide-transferase OS=Escherichia coli (strain K12) GN=mraY PE=1 SV=1	mraY	0.00135	0.00194	0.00109	0.00122	0.00157	0.00153	0.00162	0.00219	0.00226	0.00167	0.00146	0.00128	0.00202	0.00196	0.00122	0.00262	0.00199	0.0016	0.000741	0.000975	0.000683	0.00141
b0088	UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3	murD	0.00633	0.00894	0.00799	0.00536	0.00538	0.00747	0.00537	0.00642	0.00406	0.0027	0.00221	0.00199	0.00207	0.00129	0.00374	0.00404	0.0142	0.00452	0.00472	0.00371	0.00472	0.00571
b0090	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase OS=Escherichia coli (strain K12) GN=murG PE=1 SV=3	murG	0.00577	0.00835	0.00617	0.00464	0.0038	0.00477	0.00571	0.00685	0.00555	0.00389	0.00298	0.00328	0.00367	0.00302	0.00442	0.0108	0.0062	0.00673	0.00492	0.00443	0.00611	0.00728
b0091	UDP-N-acetylmuramate--L-alanine ligase OS=Escherichia coli (strain K12) GN=murC PE=1 SV=2	murC	0.0387	0.0597	0.0389	0.0286	0.0294	0.0281	0.0304	0.0353	0.0251	0.0187	0.0181	0.0128	0.0256	0.0255	0.0372	0.0561	0.0456	0.0405	0.032	0.0216	0.0321	0.0354
b0092	D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3	ddlB	0.0278	0.0497	0.0334	0.0271	0.0254	0.0249	0.0257	0.0281	0.0207	0.0184	0.016	0.0147	0.0423	0.0212	0.0313	0.0524	0.062	0.0339	0.0289	0.0243	0.0252	0.0287
b0094	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	ftsA	0.043	0.0595	0.0552	0.0435	0.0395	0.0335	0.0408	0.0406	0.0454	0.039	0.0338	0.0302	0.0149	0.0167	0.0376	0.0586	0.0465	0.0477	0.0367	0.0293	0.0337	0.0424
b0095	Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1	ftsZ	0.406	0.528	0.509	0.213	0.261	0.296	0.289	0.279	0.242	0.199	0.172	0.149	0.0972	0.107	0.379	0.351	0.346	0.4	0.315	0.207	0.292	0.345
b0096	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1	lpxC	0.0074	0.00749	0.00837	0.00507	0.00734	0.0067	0.00646	0.00616	0.00557	0.00557	0.00694	0.0057	0.00334	0.00278	0.00853	0.0109	0.00538	0.0061	0.00713	0.00748	0.00612	0.00565
b0098	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	0.12	0.304	0.189	0.0763	0.113	0.125	0.105	0.134	0.158	0.141	0.128	0.127	0.0552	0.0579	0.0748	0.113	0.0935	0.112	0.12	0.0748	0.105	0.13
b0099	Mutator mutT protein OS=Escherichia coli (strain K12) GN=mutT PE=1 SV=1	mutT	0.0000895	0.0000187		0.00000386	0.0000682	0.0000767	0.000035	0.000514	0.000101	0.000159	0.000457	0.0000021	0.000012	0.0000333	0.00000382	0.000482	0.0000162			0.000000507	0.0000635	
b0101	UPF0243 zinc-binding protein yacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1	yacG	0.00114	0.00308	0.00196	0.000627	0.00114	0.00127	0.00101	0.00105	0.000649	0.000564	0.000271	0.000266	0.0000615	0.0000178	0.000721	0.000188	0.000717	0.000448	0.000278	0.000103	0.000259	0.0000395
b0102	UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2	zapD	0.0138	0.026	0.0181	0.00861	0.0128	0.0118	0.0126	0.00978	0.00863	0.0078	0.00742	0.00772	0.00782	0.00541	0.0118	0.0185	0.0132	0.0187	0.0125	0.0135	0.0137	0.0181
b0103	Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1	coaE	0.00268	0.00236	0.00469	0.00241	0.00223	0.00172	0.00154	0.00242	0.00205	0.0018	0.00163	0.00175	0.00185	0.00277	0.00346	0.00212	0.003	0.00197	0.00155	0.00127	0.00132	0.00179
b0104	GMP reductase OS=Escherichia coli (strain K12) GN=guaC PE=1 SV=1	guaC	0.071	0.0753	0.0411	0.0403	0.0723	0.064	0.0712	0.0755	0.0738	0.0358	0.0216	0.0156	0.0215	0.0257	0.0409	0.0832	0.0483	0.0689	0.0557	0.0452	0.0718	0.0722
b0109	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Escherichia coli (strain K12) GN=nadC PE=1 SV=7	nadC	0.0343	0.0309	0.0324	0.022	0.0266	0.0263	0.0305	0.0324	0.0234	0.0217	0.0169	0.0158	0.01	0.0109	0.0282	0.0257	0.0358	0.0436	0.0331	0.0276	0.0304	0.0356
b0110	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1	ampD	0.00569	0.00564		0.00399	0.0034	0.00986	0.00361	0.00412	0.00396	0.0068	0.00175	0.00307	0.00403	0.000843	0.00287	0.00295	0.00248			0.00342	0.00438	
b0111	Protein AmpE OS=Escherichia coli (strain K12) GN=ampE PE=1 SV=1	ampE	0.000219	0.000547	0.000239	0.00031	0.000262	0.000129	0.00019	0.000369	0.000254	0.000245	0.000497	0.000819	0.00000024	0.00000922	0.00000977	0.0000618	0.0000175	0.0000101	0.000027	0.00000518	0.0000278	0.0000211
b0112	Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3	aroP	0.0165	0.00206	0.00122	0.00717	0.0137	0.0127	0.0114	0.00917	0.019	0.0133	0.0121	0.0106	0.00175	0.00154	0.00475	0.00773	0.00734	0.00574	0.00786	0.00356	0.00933	0.0113
b0113	Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1	pdhR	0.00499	0.00516	0.00234	0.00255	0.00405	0.00203	0.00234	0.0158	0.00296	0.00208	0.00138	0.00141	0.000928	0.00171	0.00383	0.00418	0.0047	0.00507	0.00206	0.00114	0.00177	0.0042
b0114	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	0.962	1.95	1.1	0.404	0.748	0.694	0.673	2.61	0.973	0.872	0.729	0.793	0.873	0.974	1.04	1.15	1.56	1.69	0.811	0.54	0.784	1.56
b0115	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3	aceF	0.993	2.45	1.11	0.391	0.702	0.625	0.619	2.4	0.775	0.691	0.564	0.615	0.877	0.971	1.18	1.05	1.44	1.49	0.747	0.536	0.756	1.23
b0116	Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	lpdA	1.06	2.53	1.83	0.762	1.01	1.09	0.867	2.04	1.15	0.918	0.751	0.624	0.632	0.688	0.968	0.991	1.02	1.27	1.08	0.758	1.2	1.19
b0118	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	1.18	2.58	2.72	3.54	3.02	2.13	1.67	2.54	2.44	3.14	2.55	2.14	0.145	0.117	0.437	0.751	0.721	1.04	2.56	2	3.03	1.36
b0119	UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1	yacL	0.00394	0.00582		0.0029	0.00268	0.00444	0.0022	0.00213	0.00302	0.00241	0.00255	0.00237	0.00871	0.01	0.00217	0.00321	0.00301			0.00212	0.0024	
b0120	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	0.0897	0.106	0.0718	0.0227	0.043	0.0496	0.0417	0.0289	0.0395	0.0252	0.0171	0.013	0.0171	0.0219	0.0617	0.0659	0.0523	0.0478	0.0345	0.025	0.0396	0.0531
b0121	Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2	speE	0.0557	0.0607	0.0417	0.0169	0.0354	0.0318	0.029	0.0226	0.0298	0.02	0.0164	0.0141	0.00824	0.00909	0.0427	0.0294	0.0275	0.0251	0.0261	0.0245	0.0263	0.0307
b0122	Uncharacterized protein yacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	yacC	0.0014	0.00186		0.00154	0.00115	0.00108	0.000907	0.000686	0.00154	0.00121	0.00113	0.00133	0.00664	0.00194	0.00156	0.00167	0.002			0.000961	0.00101	
b0123	Blue copper oxidase CueO OS=Escherichia coli (strain K12) GN=cueO PE=1 SV=2	cueO	0.097	0.0397	0.0994	0.0609	0.095	0.0489	0.0934	0.0731	0.0679	0.0588	0.0484	0.04	0.0154	0.0165	0.0456	0.102	0.116	0.0578	0.0758	0.0682	0.0753	0.0616
b0124	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	gcd	0.00623	0.0123	0.00535	0.00403	0.00339	0.0125	0.00314	0.00258	0.0109	0.00908	0.0123	0.0154	0.0321	0.0527	0.0323	0.00894	0.0487	0.0113	0.00478	0.00536	0.00383	0.00513
b0125	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	0.0428	0.0825	0.0537	0.0177	0.0236	0.0293	0.028	0.0251	0.0225	0.0194	0.0144	0.0117	0.0144	0.0164	0.046	0.0257	0.0315	0.0314	0.0222	0.0225	0.0304	0.0391
b0126	Carbonic anhydrase 2 OS=Escherichia coli (strain K12) GN=can PE=1 SV=1	can	0.152	0.0965	0.115	0.0884	0.0889	0.106	0.107	0.106	0.0895	0.0643	0.0531	0.0438	0.108	0.102	0.265	0.196	0.343	0.143	0.102	0.0876	0.096	0.137
b0127	Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=1 SV=1	yadG	0.0156	0.0341	0.019	0.00778	0.00763	0.00717	0.0145	0.00686	0.0158	0.0121	0.0104	0.0107	0.00458	0.0038	0.00524	0.00875	0.0084	0.0114	0.0124	0.00752	0.0156	0.011
b0131	Aspartate 1-decarboxylase OS=Escherichia coli (strain K12) GN=panD PE=1 SV=1	panD	0.0152	0.0124	0.0142	0.00614	0.00845	0.00903	0.00878	0.00993	0.00703	0.00529	0.00346	0.00213	0.0021	0.00262	0.00993	0.0174	0.0131	0.0107	0.00623	0.00476	0.00703	0.011
b0133	Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1	panC	0.0674	0.0753	0.0716	0.0572	0.0622	0.0614	0.0712	0.0744	0.0581	0.0488	0.0473	0.0428	0.0372	0.0376	0.0754	0.0792	0.0816	0.0697	0.0523	0.0539	0.0546	0.069
b0134	3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1	panB	0.121	0.0992	0.127	0.124	0.118	0.104	0.105	0.0977	0.115	0.108	0.0952	0.0971	0.059	0.0506	0.0875	0.131	0.1	0.107	0.0953	0.0696	0.0849	0.104
b0142	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase OS=Escherichia coli (strain K12) GN=folK PE=1 SV=3	folK	0.00641	0.0114		0.0048	0.00682	0.00762	0.00502	0.00564	0.00906	0.00841	0.00732	0.00539	0.00546	0.00484	0.00549	0.0067	0.00706			0.00395	0.00536	
b0143	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	0.00387	0.00664	0.00348	0.00119	0.00215	0.00238	0.00294	0.00247	0.00722	0.0049	0.00355	0.00254	0.00155	0.00243	0.00304	0.00466	0.00252	0.0037	0.00228	0.00192	0.00304	0.00394
b0144	Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6	gluQ	0.00275	0.00961		0.00154	0.00401	0.00241	0.00253	0.00269	0.00293	0.00315	0.00914	0.00222	0.000392	0.000684	0.00259	0.00183	0.00236			0.000943	0.00268	
